class_map,class_code,class_name,story_role,description,pixel_count,area_km2,percent_of_valid_aoi,centroid_x,centroid_y,min_x,max_x,min_y,max_y,elevation_available,elevation_mean,elevation_median,elevation_p25,elevation_p75,slope_available,slope_mean,slope_median,slope_p25,slope_p75,aspect_available,aspect_mean,aspect_median,aspect_p25,aspect_p75,forest_mask_available
midday_afternoon,2,coherent_june_activation,coherent activation,NDVI and ET slopes are positive and ESI is nonnegative.,187,0.9163,0.5243235665218001,587180.3475935829,5166457.994652406,579395.0,599415.0,5159385.0,5180315.0,True,1929.740478515625,1860.4688720703125,1768.796142578125,2020.160888671875,True,24.39263916015625,25.70656394958496,19.294879913330078,30.420860290527344,True,158.08775329589844,163.57012939453125,83.19322204589844,218.69178771972656,False
midday_afternoon,3,strong_june_activation,strong activation,NDVI and ET slopes are both in the upper activation range.,24,0.1176,0.0672928641525305,582682.0833333334,5163100.833333333,579465.0,592135.0,5161135.0,5168625.0,True,1886.9522705078125,1898.9638671875,1820.5673828125,1961.338134765625,True,27.971771240234375,27.647239685058594,20.851221084594727,30.174938201904297,True,160.2494659423828,170.27633666992188,141.05459594726562,189.13934326171875,False
midday_afternoon,4,esi_watch_zone_exploratory,monitoring zone,NDVI and ET are positive but ESI slope is negative.,2225,10.9025,6.238609280807514,588977.795505618,5167057.346067416,579535.0,600465.0,5158615.0,5179125.0,True,2604.55029296875,2636.595703125,2494.041748046875,2759.7783203125,True,30.495851516723633,31.083498001098633,24.03097152709961,37.234981536865234,True,168.43763732910156,162.85855102539062,109.5052490234375,225.32803344726562,False
midday_afternoon,5,demand_efficiency_watch_exploratory,monitoring zone,"NDVI, ET, and PET are positive while WUE is negative.",10350,50.714999999999996,29.020047665778776,589356.1420289855,5167637.885024155,579465.0,600465.0,5158685.0,5180385.0,True,2217.221435546875,2177.552490234375,2012.512451171875,2411.407958984375,True,29.367734909057617,29.994216918945312,22.401119232177734,36.30686569213867,True,175.15965270996094,175.859375,91.12211608886719,256.90716552734375,False
midday_afternoon,6,efficient_activation_support,efficient activation candidate,NDVI and ET are positive and WUE is nonnegative.,977,4.7873,2.739380344875929,592105.4094165814,5168141.018423746,579745.0,600535.0,5158545.0,5178915.0,True,2748.447998046875,2766.294677734375,2653.7470703125,2850.86181640625,True,32.90238952636719,33.85733413696289,25.542707443237305,39.5556640625,True,161.1321563720703,151.94854736328125,101.01998901367188,220.58761596679688,False
midday_afternoon,7,product_disagreement_zone,hypothesis generator,Main products point in conflicting directions.,17934,87.8766,50.28459273797841,589962.5136612022,5168240.983606557,579395.0,600395.0,5158545.0,5180385.0,True,2337.763671875,2355.266845703125,2095.01513671875,2594.650634765625,True,29.878828048706055,30.44834327697754,23.05388641357422,36.54910659790039,True,178.59909057617188,182.1277313232422,100.06481170654297,253.75167846679688,False
midday_afternoon,8,high_variability_zone,variability zone,One or more main products show high interannual variability.,1958,9.594199999999999,5.489976167110613,590000.2145045965,5168435.091930541,579675.0,599905.0,5158545.0,5180035.0,True,2473.43212890625,2530.7412109375,2260.15185546875,2711.64990234375,True,32.03406524658203,32.49273681640625,23.851106643676758,39.96427536010742,True,185.3668670654297,190.15550231933594,103.58433532714844,260.99334716796875,False
daytime_evening,0,unclassified_or_no_data,not interpreted,No dominant story assigned or no valid trend support.,116,0.5684,0.32524884340389737,589853.9655172414,5168247.844827586,580795.0,599065.0,5159525.0,5179685.0,True,2383.593994140625,2342.83935546875,2264.4599609375,2486.44970703125,True,37.797183990478516,36.83222961425781,31.748064041137695,44.392059326171875,True,208.76760864257812,238.6168670654297,115.45808410644531,301.24798583984375,False
daytime_evening,1,stable_core,strong stability candidate,"Low interannual variability across NDVI, ET, and ESI.",377,1.8473,1.0570587410626664,590656.6445623342,5169717.705570292,579815.0,599765.0,5160645.0,5180245.0,True,1999.6126708984375,1998.646484375,1806.625244140625,2192.54248046875,True,32.613609313964844,32.94792175292969,25.690019607543945,39.19939422607422,True,184.0780029296875,223.7215576171875,80.59386444091797,261.813232421875,False
daytime_evening,2,coherent_june_activation,coherent activation,NDVI and ET slopes are positive and ESI is nonnegative.,99,0.4851,0.2775830646291883,588941.1616161616,5170511.464646464,584015.0,598925.0,5162185.0,5180315.0,True,1849.6995849609375,1805.0166015625,1719.449462890625,1915.970458984375,True,30.82218360900879,31.860416412353516,21.746795654296875,37.80902862548828,True,190.5175323486328,190.02639770507812,169.400634765625,206.344970703125,False
