class_map,class_code,class_name,patch_id,pixel_count,area_km2,centroid_x,centroid_y,min_x,max_x,min_y,max_y
midday_afternoon,4,esi_watch_zone_exploratory,270,91,0.44589999999999996,583290.3846153846,5164330.384615385,582615.0,583875.0,5163655.0,5164845.0
midday_afternoon,4,esi_watch_zone_exploratory,404,76,0.3724,583609.7368421053,5159308.552631579,582895.0,584295.0,5158895.0,5159805.0
midday_afternoon,4,esi_watch_zone_exploratory,372,68,0.3332,583689.7058823529,5161524.117647059,583315.0,584085.0,5161065.0,5161905.0
midday_afternoon,4,esi_watch_zone_exploratory,21,61,0.2989,586584.344262295,5175533.196721312,586045.0,587165.0,5175065.0,5175835.0
midday_afternoon,4,esi_watch_zone_exploratory,54,55,0.2695,597577.1818181818,5172793.181818182,597035.0,598015.0,5172475.0,5172965.0
midday_afternoon,4,esi_watch_zone_exploratory,174,55,0.2695,596961.1818181818,5168599.545454546,596545.0,597315.0,5168205.0,5168975.0
midday_afternoon,4,esi_watch_zone_exploratory,317,50,0.245,583516.6,5163323.2,583175.0,583875.0,5162885.0,5163865.0
midday_afternoon,5,demand_efficiency_watch_exploratory,89,3107,15.2243,592499.1937560347,5168548.669134213,588845.0,596545.0,5165195.0,5171565.0
midday_afternoon,5,demand_efficiency_watch_exploratory,338,1740,8.526,581720.6494252874,5162376.5344827585,579605.0,584015.0,5160085.0,5164705.0
midday_afternoon,5,demand_efficiency_watch_exploratory,158,618,3.0282,584185.6957928803,5167568.770226537,582405.0,585625.0,5166385.0,5169045.0
midday_afternoon,5,demand_efficiency_watch_exploratory,32,405,1.9845,599011.5925925926,5175859.888888889,598085.0,599835.0,5174785.0,5176885.0
midday_afternoon,5,demand_efficiency_watch_exploratory,303,346,1.6954,586131.9942196532,5164538.092485549,584855.0,587095.0,5162955.0,5165685.0
midday_afternoon,5,demand_efficiency_watch_exploratory,44,307,1.5043,596648.7459283387,5173579.039087947,595845.0,597945.0,5172895.0,5174995.0
midday_afternoon,5,demand_efficiency_watch_exploratory,58,296,1.4504,599284.222972973,5173523.581081081,598505.0,600185.0,5172055.0,5174435.0
midday_afternoon,5,demand_efficiency_watch_exploratory,276,254,1.2446,590428.8188976378,5165347.677165355,589475.0,591085.0,5164355.0,5166105.0
midday_afternoon,5,demand_efficiency_watch_exploratory,299,181,0.8869,593678.8674033149,5165089.806629835,592765.0,594515.0,5164425.0,5165755.0
midday_afternoon,5,demand_efficiency_watch_exploratory,112,171,0.8379,586000.3801169591,5170014.766081871,585065.0,587445.0,5169255.0,5170585.0
midday_afternoon,6,efficient_activation_support,53,134,0.6566,597227.2388059702,5169388.731343283,596685.0,597735.0,5168555.0,5170305.0
midday_afternoon,6,efficient_activation_support,57,115,0.5635,599979.8695652174,5169246.478260869,599555.0,600535.0,5168695.0,5169955.0
midday_afternoon,6,efficient_activation_support,85,61,0.2989,581203.524590164,5164351.557377049,580795.0,581635.0,5164005.0,5164635.0
midday_afternoon,6,efficient_activation_support,108,50,0.245,584993.6,5162945.2,584435.0,585415.0,5162535.0,5163445.0
midday_afternoon,6,efficient_activation_support,135,50,0.245,583326.2,5158924.4,582545.0,584015.0,5158685.0,5159245.0
midday_afternoon,6,efficient_activation_support,48,45,0.2205,598508.1111111111,5170614.555555556,598225.0,598855.0,5170305.0,5170935.0
midday_afternoon,6,efficient_activation_support,28,39,0.1911,597447.8205128205,5172248.846153846,597105.0,597735.0,5172055.0,5172475.0
midday_afternoon,6,efficient_activation_support,52,38,0.1862,599230.7894736842,5170098.684210527,598995.0,599625.0,5169815.0,5170375.0
midday_afternoon,6,efficient_activation_support,97,27,0.1323,583880.1851851852,5163810.555555556,583665.0,584155.0,5163585.0,5164005.0
midday_afternoon,6,efficient_activation_support,19,26,0.12739999999999999,587046.5384615385,5174666.538461538,586815.0,587235.0,5174505.0,5174855.0
midday_afternoon,7,product_disagreement_zone,81,7756,38.0044,586350.0631768953,5166549.043321299,579605.0,593185.0,5162255.0,5171705.0
midday_afternoon,7,product_disagreement_zone,70,4774,23.392599999999998,594639.7360703812,5169115.997067449,588775.0,600185.0,5163515.0,5172615.0
midday_afternoon,7,product_disagreement_zone,13,1526,7.477399999999999,598065.1376146789,5175390.091743119,596335.0,600045.0,5173035.0,5178915.0
midday_afternoon,7,product_disagreement_zone,299,729,3.5721,583115.7544581619,5161015.260631002,580935.0,584645.0,5159035.0,5163655.0
midday_afternoon,7,product_disagreement_zone,29,509,2.4941,586262.9764243615,5175231.679764244,585135.0,587655.0,5174085.0,5176675.0
midday_afternoon,7,product_disagreement_zone,58,364,1.7835999999999999,598619.0384615385,5172438.653846154,597735.0,599485.0,5171145.0,5173385.0
