class_map,elevation_bin,class_code,class_name,pixel_count,area_km2,percent_of_class,mean_elevation,median_elevation
daytime,high_mid_elevation,7,product_disagreement_zone,2385,11.686499999999999,27.404343329886245,2444.7900390625,2439.552734375
daytime,highest_elevation_quartile,7,product_disagreement_zone,2375,11.6375,27.2894404228427,2745.032470703125,2731.76953125
daytime,lowest_elevation_quartile,8,high_variability_zone,6,0.0294,0.7936507936507936,1931.38671875,1967.78515625
daytime,low_mid_elevation,8,high_variability_zone,129,0.6321,17.063492063492063,2226.956298828125,2242.9033203125
daytime,high_mid_elevation,8,high_variability_zone,189,0.9260999999999999,25.0,2446.622314453125,2443.519287109375
daytime,highest_elevation_quartile,8,high_variability_zone,432,2.1168,57.14285714285714,2766.133056640625,2741.3271484375
midday_afternoon,lowest_elevation_quartile,0,unclassified_or_no_data,194,0.9506,31.04,1939.7406005859375,1953.416015625
midday_afternoon,low_mid_elevation,0,unclassified_or_no_data,236,1.1563999999999999,37.76,2180.983642578125,2185.963134765625
midday_afternoon,high_mid_elevation,0,unclassified_or_no_data,129,0.6321,20.64,2442.064453125,2434.19140625
midday_afternoon,highest_elevation_quartile,0,unclassified_or_no_data,66,0.32339999999999997,10.56,2711.52392578125,2695.916748046875
midday_afternoon,lowest_elevation_quartile,1,stable_core,789,3.8661,58.531157270029674,1863.5946044921875,1886.9105224609375
midday_afternoon,low_mid_elevation,1,stable_core,492,2.4108,36.49851632047478,2155.27734375,2144.601806640625
midday_afternoon,high_mid_elevation,1,stable_core,67,0.3283,4.9703264094955495,2397.40869140625,2398.006103515625
midday_afternoon,lowest_elevation_quartile,2,coherent_june_activation,143,0.7007,78.14207650273224,1824.152587890625,1811.3587646484375
midday_afternoon,low_mid_elevation,2,coherent_june_activation,21,0.10289999999999999,11.475409836065573,2179.651123046875,2163.016357421875
midday_afternoon,high_mid_elevation,2,coherent_june_activation,17,0.0833,9.289617486338798,2431.492919921875,2402.510009765625
midday_afternoon,highest_elevation_quartile,2,coherent_june_activation,2,0.0098,1.092896174863388,2590.326171875,2590.326171875
midday_afternoon,lowest_elevation_quartile,3,strong_june_activation,24,0.1176,100.0,1886.9522705078125,1898.9638671875
midday_afternoon,lowest_elevation_quartile,4,esi_watch_zone_exploratory,70,0.34299999999999997,3.2124827902707667,1915.5355224609375,1929.47607421875
midday_afternoon,low_mid_elevation,4,esi_watch_zone_exploratory,156,0.7644,7.159247361174851,2221.31640625,2238.881591796875
midday_afternoon,high_mid_elevation,4,esi_watch_zone_exploratory,625,3.0625,28.682882055988983,2480.595703125,2491.914794921875
midday_afternoon,highest_elevation_quartile,4,esi_watch_zone_exploratory,1328,6.5072,60.9453877925654,2744.223876953125,2729.21630859375
midday_afternoon,lowest_elevation_quartile,5,demand_efficiency_watch_exploratory,3317,16.2533,32.37360921335155,1916.544677734375,1944.9072265625
midday_afternoon,low_mid_elevation,5,demand_efficiency_watch_exploratory,3547,17.3803,34.61838766347843,2179.825927734375,2175.18994140625
midday_afternoon,high_mid_elevation,5,demand_efficiency_watch_exploratory,2147,10.520299999999999,20.95451883661917,2446.31884765625,2444.743896484375
midday_afternoon,highest_elevation_quartile,5,demand_efficiency_watch_exploratory,1235,6.0515,12.053484286550848,2733.9130859375,2710.239990234375
midday_afternoon,lowest_elevation_quartile,6,efficient_activation_support,9,0.0441,0.9503695881731784,1717.17138671875,1642.558349609375
midday_afternoon,low_mid_elevation,6,efficient_activation_support,7,0.0343,0.7391763463569165,2254.27001953125,2295.4541015625
midday_afternoon,high_mid_elevation,6,efficient_activation_support,92,0.4508,9.714889123548048,2514.009521484375,2545.43994140625
midday_afternoon,highest_elevation_quartile,6,efficient_activation_support,839,4.1110999999999995,88.59556494192185,2789.340576171875,2785.083740234375
midday_afternoon,lowest_elevation_quartile,7,product_disagreement_zone,4003,19.6147,22.696603730793218,1868.5777587890625,1881.202880859375
midday_afternoon,low_mid_elevation,7,product_disagreement_zone,3977,19.487299999999998,22.549186369563984,2201.10693359375,2207.886474609375
midday_afternoon,high_mid_elevation,7,product_disagreement_zone,5147,25.220299999999998,29.182967624879513,2443.250732421875,2438.191650390625
midday_afternoon,highest_elevation_quartile,7,product_disagreement_zone,4510,22.099,25.571242274763286,2754.32470703125,2737.9365234375
midday_afternoon,lowest_elevation_quartile,8,high_variability_zone,228,1.1172,11.887382690302397,1880.6641845703125,1906.61376953125
midday_afternoon,low_mid_elevation,8,high_variability_zone,341,1.6709,17.778936392075078,2204.527099609375,2214.9541015625
midday_afternoon,high_mid_elevation,8,high_variability_zone,552,2.7048,28.779979144942647,2473.98095703125,2488.66748046875
midday_afternoon,highest_elevation_quartile,8,high_variability_zone,797,3.9053,41.55370177267987,2757.67919921875,2739.1298828125
daytime_evening,lowest_elevation_quartile,0,unclassified_or_no_data,3,0.0147,2.631578947368421,1954.5869140625,1943.7674560546875
daytime_evening,low_mid_elevation,0,unclassified_or_no_data,44,0.21559999999999999,38.59649122807017,2235.873291015625,2252.24609375
daytime_evening,high_mid_elevation,0,unclassified_or_no_data,50,0.245,43.859649122807014,2415.406494140625,2394.697265625
daytime_evening,highest_elevation_quartile,0,unclassified_or_no_data,17,0.0833,14.912280701754385,2748.07275390625,2755.97705078125
daytime_evening,lowest_elevation_quartile,1,stable_core,216,1.0584,57.75401069518716,1838.4571533203125,1835.258544921875
daytime_evening,low_mid_elevation,1,stable_core,134,0.6566,35.82887700534759,2188.022216796875,2193.97998046875
daytime_evening,high_mid_elevation,1,stable_core,24,0.1176,6.417112299465241,2398.061279296875,2394.541015625
daytime_evening,lowest_elevation_quartile,2,coherent_june_activation,82,0.4018,85.41666666666666,1770.0010986328125,1792.1240234375
daytime_evening,low_mid_elevation,2,coherent_june_activation,11,0.053899999999999997,11.458333333333332,2177.13525390625,2178.366943359375
daytime_evening,highest_elevation_quartile,2,coherent_june_activation,3,0.0147,3.125,2827.51953125,2828.894287109375
daytime_evening,lowest_elevation_quartile,4,esi_watch_zone_exploratory,347,1.7003,3.143685450262729,1919.7821044921875,1943.7161865234375
daytime_evening,low_mid_elevation,4,esi_watch_zone_exploratory,1405,6.8845,12.728755209277043,2228.474853515625,2246.3544921875
daytime_evening,high_mid_elevation,4,esi_watch_zone_exploratory,4002,19.6098,36.25656821888023,2459.816162109375,2463.70703125
daytime_evening,highest_elevation_quartile,4,esi_watch_zone_exploratory,5284,25.8916,47.87099112158,2759.96240234375,2745.05517578125
daytime_evening,lowest_elevation_quartile,5,demand_efficiency_watch_exploratory,5176,25.3624,43.054400266178675,1900.8485107421875,1926.0595703125
daytime_evening,low_mid_elevation,5,demand_efficiency_watch_exploratory,4587,22.4763,38.155049076692734,2172.466064453125,2165.810791015625
daytime_evening,high_mid_elevation,5,demand_efficiency_watch_exploratory,1707,8.3643,14.198968557644317,2437.847412109375,2428.5400390625
