class_map,axis,bin,class_code,class_name,pixel_count,area_km2,percent_of_class
midday_afternoon,west_east,middle_west,4,esi_watch_zone_exploratory,588,2.8811999999999998,26.42696629213483
midday_afternoon,west_east,west,4,esi_watch_zone_exploratory,819,4.0131,36.80898876404494
midday_afternoon,west_east,east,5,demand_efficiency_watch_exploratory,1856,9.0944,17.932367149758456
midday_afternoon,west_east,middle_east,5,demand_efficiency_watch_exploratory,3309,16.2141,31.971014492753625
midday_afternoon,west_east,middle_west,5,demand_efficiency_watch_exploratory,2088,10.2312,20.17391304347826
midday_afternoon,west_east,west,5,demand_efficiency_watch_exploratory,3097,15.1753,29.92270531400966
midday_afternoon,west_east,east,6,efficient_activation_support,544,2.6656,55.68065506653019
midday_afternoon,west_east,middle_east,6,efficient_activation_support,15,0.0735,1.5353121801432956
midday_afternoon,west_east,middle_west,6,efficient_activation_support,168,0.8231999999999999,17.195496417604915
midday_afternoon,west_east,west,6,efficient_activation_support,250,1.2249999999999999,25.588536335721596
midday_afternoon,west_east,east,7,product_disagreement_zone,4505,22.0745,25.119884019181445
midday_afternoon,west_east,middle_east,7,product_disagreement_zone,3866,18.9434,21.556819449091112
midday_afternoon,west_east,middle_west,7,product_disagreement_zone,5610,27.489,31.2813650050184
midday_afternoon,west_east,west,7,product_disagreement_zone,3953,19.369699999999998,22.041931526709043
midday_afternoon,west_east,east,8,high_variability_zone,457,2.2393,23.34014300306435
midday_afternoon,west_east,middle_east,8,high_variability_zone,422,2.0678,21.552604698672116
midday_afternoon,west_east,middle_west,8,high_variability_zone,730,3.577,37.2829417773238
midday_afternoon,west_east,west,8,high_variability_zone,349,1.7101,17.824310520939733
daytime_evening,north_south,middle_north,0,unclassified_or_no_data,29,0.1421,25.0
daytime_evening,north_south,middle_south,0,unclassified_or_no_data,56,0.2744,48.275862068965516
daytime_evening,north_south,north,0,unclassified_or_no_data,12,0.0588,10.344827586206897
daytime_evening,north_south,south,0,unclassified_or_no_data,19,0.0931,16.379310344827587
daytime_evening,north_south,middle_north,1,stable_core,79,0.3871,20.954907161803714
daytime_evening,north_south,middle_south,1,stable_core,217,1.0633,57.55968169761273
daytime_evening,north_south,north,1,stable_core,68,0.3332,18.037135278514587
daytime_evening,north_south,south,1,stable_core,13,0.06369999999999999,3.4482758620689653
daytime_evening,north_south,middle_north,2,coherent_june_activation,67,0.3283,67.67676767676768
daytime_evening,north_south,middle_south,2,coherent_june_activation,21,0.10289999999999999,21.21212121212121
daytime_evening,north_south,north,2,coherent_june_activation,7,0.0343,7.07070707070707
daytime_evening,north_south,south,2,coherent_june_activation,4,0.0196,4.040404040404041
daytime_evening,north_south,middle_north,4,esi_watch_zone_exploratory,3175,15.5575,28.249844292196812
daytime_evening,north_south,middle_south,4,esi_watch_zone_exploratory,4092,20.0508,36.40893317910846
daytime_evening,north_south,north,4,esi_watch_zone_exploratory,914,4.4786,8.132396120651302
daytime_evening,north_south,south,4,esi_watch_zone_exploratory,3058,14.9842,27.208826408043418
daytime_evening,north_south,middle_north,5,demand_efficiency_watch_exploratory,2190,10.731,17.986202365308802
daytime_evening,north_south,middle_south,5,demand_efficiency_watch_exploratory,7850,38.464999999999996,64.47109067017082
daytime_evening,north_south,north,5,demand_efficiency_watch_exploratory,632,3.0968,5.19053876478318
daytime_evening,north_south,south,5,demand_efficiency_watch_exploratory,1504,7.3696,12.352168199737187
daytime_evening,north_south,middle_north,6,efficient_activation_support,618,3.0282,26.120033812341504
daytime_evening,north_south,middle_south,6,efficient_activation_support,1058,5.1842,44.71682163989856
daytime_evening,north_south,north,6,efficient_activation_support,324,1.5876,13.693998309382923
daytime_evening,north_south,south,6,efficient_activation_support,366,1.7933999999999999,15.469146238377007
daytime_evening,north_south,middle_north,7,product_disagreement_zone,2431,11.9119,27.897635988065183
daytime_evening,north_south,middle_south,7,product_disagreement_zone,4272,20.9328,49.02455818223548
daytime_evening,north_south,north,7,product_disagreement_zone,855,4.1895,9.811797108101905
daytime_evening,north_south,south,7,product_disagreement_zone,1156,5.6644,13.26600872159743
daytime_evening,north_south,middle_north,8,high_variability_zone,181,0.8869,31.314878892733567
daytime_evening,north_south,middle_south,8,high_variability_zone,152,0.7448,26.297577854671278
daytime_evening,north_south,north,8,high_variability_zone,70,0.34299999999999997,12.110726643598616
daytime_evening,north_south,south,8,high_variability_zone,175,0.8574999999999999,30.276816608996537
daytime_evening,west_east,east,0,unclassified_or_no_data,22,0.10779999999999999,18.96551724137931
daytime_evening,west_east,middle_east,0,unclassified_or_no_data,26,0.12739999999999999,22.413793103448278
daytime_evening,west_east,middle_west,0,unclassified_or_no_data,54,0.2646,46.55172413793103
daytime_evening,west_east,west,0,unclassified_or_no_data,14,0.0686,12.068965517241379
daytime_evening,west_east,east,1,stable_core,100,0.49,26.525198938992045
daytime_evening,west_east,middle_east,1,stable_core,51,0.24989999999999998,13.527851458885943
daytime_evening,west_east,middle_west,1,stable_core,191,0.9359,50.663129973474796
daytime_evening,west_east,west,1,stable_core,35,0.17149999999999999,9.283819628647215
daytime_evening,west_east,east,2,coherent_june_activation,13,0.06369999999999999,13.131313131313133
