product,source_type,year,month,month_label,total_records,usable_records,min_required_usable_records,usable_daytime_records,usable_midday_afternoon_records,mean_coverage_percent,min_coverage_percent,median_coverage_percent,tiny_footprint_records,status,total_morning,total_midday_afternoon,total_evening,total_night,total_unknown,usable_morning,usable_midday_afternoon,usable_evening,usable_night,usable_unknown
pet,statistics_csv,2021,3,March,5,5,3,2,0,97.4384,87.8677,99.7869,0,time_bin_limited,2,0,3,0,0,2,0,3,0,0
pet,statistics_csv,2021,4,April,16,12,3,11,5,74.03898125,0.3337,98.5995,0,usable,8,7,1,0,0,6,5,1,0,0
pet,statistics_csv,2021,5,May,9,5,3,3,0,74.51626666666668,26.2554,84.75819999999999,0,usable_with_daytime_fallback,5,0,4,0,0,3,0,2,0,0
pet,statistics_csv,2021,6,June,14,9,3,8,2,72.0999,0.3337,90.62944999999999,0,usable,7,3,4,0,0,6,2,1,0,0
pet,statistics_csv,2022,1,January,2,1,3,0,0,50.4458,0.8916000000000001,50.4458,0,low_observation_count,0,0,2,0,0,0,0,1,0,0
pet,statistics_csv,2022,2,February,15,13,3,10,7,83.31492666666666,0.3337,98.6121,0,usable,3,9,3,0,0,3,7,3,0,0
pet,statistics_csv,2022,3,March,2,2,3,0,0,91.12575000000001,82.8824,91.12575000000001,0,low_observation_count,0,0,2,0,0,0,0,2,0,0
pet,statistics_csv,2022,4,April,21,17,3,15,9,79.68529523809524,0.3337,99.9495,0,usable,6,12,3,0,0,6,9,2,0,0
pet,statistics_csv,2022,5,May,5,2,3,1,0,64.20356000000001,28.6051,63.8189,0,low_observation_count,1,0,4,0,0,1,0,1,0,0
pet,statistics_csv,2022,6,June,22,11,3,9,4,59.97081818181818,0.0561,65.40729999999999,0,usable,7,9,6,0,0,5,4,2,0,0
pet,statistics_csv,2023,1,January,3,3,3,1,1,99.07846666666667,97.2354,100.0,0,time_bin_limited,0,1,2,0,0,0,1,2,0,0
pet,statistics_csv,2023,2,February,20,16,3,13,8,81.29539500000001,0.3337,100.0,0,usable,7,10,3,0,0,5,8,3,0,0
pet,statistics_csv,2023,3,March,6,4,3,1,1,59.09811666666667,4.5423,80.7234,0,time_bin_limited,1,1,4,0,0,0,1,3,0,0
pet,statistics_csv,2023,4,April,24,19,3,16,9,78.52375416666666,0.9645000000000001,90.5327,0,usable,8,13,3,0,0,7,9,3,0,0
pet,statistics_csv,2023,5,May,3,2,3,1,0,63.00946666666666,16.554,84.2815,0,low_observation_count,2,0,1,0,0,1,0,1,0,0
pet,statistics_csv,2023,6,June,22,10,3,10,3,55.42689545454546,0.0393,58.3387,0,usable,10,10,2,0,0,7,3,0,0,0
pet,,2024,1,January,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
pet,statistics_csv,2024,2,February,2,2,3,2,2,92.30340000000001,84.6068,92.30340000000001,0,low_observation_count,0,2,0,0,0,0,2,0,0,0
pet,,2024,3,March,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
pet,,2024,4,April,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
pet,,2024,5,May,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
pet,statistics_csv,2024,6,June,2,1,3,1,1,56.0648,12.881,56.0648,0,low_observation_count,0,2,0,0,0,0,1,0,0,0
pet,statistics_csv,2025,1,January,2,2,3,0,0,100.0,100.0,100.0,0,low_observation_count,0,0,2,0,0,0,0,2,0,0
pet,statistics_csv,2025,2,February,11,10,3,10,6,90.54432727272727,30.8902,99.3074,0,usable,5,6,0,0,0,4,6,0,0,0
pet,statistics_csv,2025,3,March,1,1,3,1,1,93.509,93.509,93.509,0,low_observation_count,0,1,0,0,0,0,1,0,0,0
pet,statistics_csv,2025,4,April,9,8,3,7,2,87.20687777777778,0.3337,100.0,0,usable,6,2,1,0,0,5,2,1,0,0
pet,statistics_csv,2025,5,May,3,2,3,2,2,66.50496666666668,0.0112,99.5037,0,low_observation_count,0,2,1,0,0,0,2,0,0,0
pet,statistics_csv,2025,6,June,6,4,3,4,1,77.15875,39.2233,87.4485,0,usable_with_daytime_fallback,4,2,0,0,0,3,1,0,0,0
wue,,2019,1,January,0,0,2,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
wue,statistics_csv,2019,2,February,10,0,2,0,0,4.86092,0.0084,3.55515,0,no_usable_records,0,8,2,0,0,0,0,0,0,0
wue,,2019,3,March,0,0,2,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
wue,,2019,4,April,0,0,2,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
wue,,2019,5,May,0,0,2,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
wue,statistics_csv,2019,6,June,14,4,2,4,1,40.15458571428571,0.0056,39.9455,0,usable,4,7,3,0,0,3,1,0,0,0
wue,statistics_csv,2020,1,January,1,0,2,0,0,0.0815,0.0815,0.0815,0,no_usable_records,0,0,1,0,0,0,0,0,0,0
wue,statistics_csv,2020,2,February,1,0,2,0,0,8.6414,8.6414,8.6414,0,no_usable_records,0,1,0,0,0,0,0,0,0,0
wue,statistics_csv,2020,3,March,1,0,2,0,0,11.4929,11.4929,11.4929,0,no_usable_records,0,0,1,0,0,0,0,0,0,0
wue,statistics_csv,2020,4,April,13,0,2,0,0,26.659884615384613,0.2585,22.0924,0,no_usable_records,5,6,2,0,0,0,0,0,0,0
wue,statistics_csv,2020,5,May,1,0,2,0,0,13.9679,13.9679,13.9679,0,no_usable_records,1,0,0,0,0,0,0,0,0,0
wue,statistics_csv,2020,6,June,15,4,2,4,2,40.254326666666664,0.3343,35.3101,0,usable,5,8,2,0,0,2,2,0,0,0
wue,,2021,1,January,0,0,2,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
wue,statistics_csv,2021,2,February,12,0,2,0,0,4.068566666666666,0.0084,1.4763000000000002,0,no_usable_records,3,8,1,0,0,0,0,0,0,0
wue,statistics_csv,2021,3,March,3,0,2,0,0,8.283666666666667,0.10389999999999999,3.933,0,no_usable_records,0,0,3,0,0,0,0,0,0,0
wue,statistics_csv,2021,4,April,15,0,2,0,0,11.284040000000001,0.0028,1.2445,0,no_usable_records,8,6,1,0,0,0,0,0,0,0
wue,statistics_csv,2021,5,May,8,1,2,0,0,26.904349999999997,0.5309999999999999,19.632799999999996,0,low_observation_count,4,0,4,0,0,0,0,1,0,0
wue,statistics_csv,2021,6,June,14,6,2,6,2,57.091292857142854,0.0674,59.201899999999995,0,usable,7,3,4,0,0,4,2,0,0,0
wue,statistics_csv,2022,1,January,1,0,2,0,0,0.0815,0.0815,0.0815,0,no_usable_records,0,0,1,0,0,0,0,0,0,0
