product,source_type,year,month,time_bin,total_records,usable_records,mean_coverage_percent,min_coverage_percent
pet,statistics_csv,2021,6,midday_afternoon,3,2,63.01416666666666,0.3337
pet,statistics_csv,2021,6,morning,7,6,86.45931428571429,30.879
pet,statistics_csv,2022,1,evening,2,1,50.4458,0.8916000000000001
pet,statistics_csv,2022,2,evening,3,3,99.17660000000001,98.6121
pet,statistics_csv,2022,2,midday_afternoon,9,7,74.19101111111111,0.3337
pet,statistics_csv,2022,2,morning,3,3,94.825,84.475
pet,statistics_csv,2022,3,evening,2,2,91.12575000000001,82.8824
pet,statistics_csv,2022,4,evening,3,2,66.76106666666666,0.3337
pet,statistics_csv,2022,4,midday_afternoon,12,9,73.90648333333333,2.6581
pet,statistics_csv,2022,4,morning,6,6,97.70503333333333,90.8173
pet,statistics_csv,2022,5,evening,4,1,55.254450000000006,28.6051
pet,statistics_csv,2022,5,morning,1,1,100.0,100.0
pet,statistics_csv,2022,6,evening,6,2,36.50216666666667,0.21589999999999998
pet,statistics_csv,2022,6,midday_afternoon,9,4,63.14533333333333,0.0561
pet,statistics_csv,2022,6,morning,7,5,76.00528571428572,6.1293
pet,statistics_csv,2023,1,evening,2,2,100.0,100.0
pet,statistics_csv,2023,1,midday_afternoon,1,1,97.2354,97.2354
pet,statistics_csv,2023,2,evening,3,3,95.16893333333333,85.5068
pet,statistics_csv,2023,2,midday_afternoon,10,8,81.08903000000001,0.3337
pet,statistics_csv,2023,2,morning,7,5,75.6444,10.9884
pet,statistics_csv,2023,3,evening,4,3,65.81665000000001,17.4317
pet,statistics_csv,2023,3,midday_afternoon,1,1,86.7798,86.7798
pet,statistics_csv,2023,3,morning,1,0,4.5423,4.5423
pet,statistics_csv,2023,4,evening,3,3,94.78383333333333,84.8871
pet,statistics_csv,2023,4,midday_afternoon,13,9,70.00096153846154,0.9645000000000001
pet,statistics_csv,2023,4,morning,8,7,86.2757625,7.963000000000001
pet,statistics_csv,2023,5,evening,1,1,88.1929,88.1929
pet,statistics_csv,2023,5,morning,2,1,50.41775,16.554
pet,statistics_csv,2023,6,evening,2,0,35.1507,15.2082
pet,statistics_csv,2023,6,midday_afternoon,10,3,41.91253,0.33089999999999997
