variable,year,season,season_label,metric,raster_path,observation_count,confidence_level,mean_valid_observations_per_aoi_pixel,mean_pixel_observation_coverage_percent,mean,median,min,max,std,p05,p25,p75,p95,valid_pixel_count,valid_aoi_pixel_count,total_aoi_pixel_count,total_pixel_count,coverage_inside_aoi_percent,coverage_percent
et,2019,june,Early Growing Season,min,data/processed/composites/et_2019_june_min.tif,13,medium,8.199102401733398,63.07001876831055,0.7816175222396851,0.7689587473869324,0.0,2.0294480323791504,0.39271280169487,0.20109954476356506,0.467679888010025,1.0525343418121338,1.466782569885254,34751,34751,34751,94839,100.0,100.0
et,2019,june,Early Growing Season,max,data/processed/composites/et_2019_june_max.tif,13,medium,8.199102401733398,63.07001876831055,3.508362293243408,3.5025763511657715,0.8676612973213196,7.136004447937012,0.8194433450698853,2.33797287940979,2.9377193450927734,3.9762020111083984,5.0179595947265625,34751,34751,34751,94839,100.0,100.0
et,2019,june,Early Growing Season,std,data/processed/composites/et_2019_june_std.tif,13,medium,8.199102401733398,63.07001876831055,0.906852126121521,0.9027563333511353,0.18939760327339172,1.8801425695419312,0.1978304386138916,0.5758630633354187,0.7901034355163574,1.0231027603149414,1.2479069232940674,34751,34751,34751,94839,100.0,100.0
et,2019,june,Early Growing Season,valid_count,data/processed/composites/et_2019_june_valid_count.tif,13,medium,8.199102401733398,63.07001876831055,8.199102401733398,8.0,4.0,11.0,1.3313664197921753,6.0,7.0,9.0,10.0,34751,34751,34751,94839,100.0,100.0
et,2019,june,Early Growing Season,observation_coverage,data/processed/composites/et_2019_june_observation_coverage.tif,13,medium,8.199102401733398,63.07001876831055,63.07001876831055,61.5384635925293,30.76923179626465,84.61538696289062,10.241280555725098,46.153846740722656,53.84615707397461,69.23077392578125,76.92308044433594,34751,34751,34751,94839,100.0,100.0
et,2020,june,Early Growing Season,mean,data/processed/composites/et_2020_june_mean.tif,15,higher,6.717792510986328,44.785282135009766,1.731376051902771,1.7337219715118408,0.5685421228408813,3.8020431995391846,0.2621545195579529,1.2909266948699951,1.5687217712402344,1.904690146446228,2.141441583633423,34751,34751,34751,94839,100.0,100.0
et,2020,june,Early Growing Season,median,data/processed/composites/et_2020_june_median.tif,15,higher,6.717792510986328,44.785282135009766,1.5818244218826294,1.4423964023590088,0.22786565124988556,3.760960340499878,0.5004677176475525,0.8938458561897278,1.2864019870758057,1.8167724609375,2.6436986923217773,34751,34751,34751,94839,100.0,100.0
et,2020,june,Early Growing Season,min,data/processed/composites/et_2020_june_min.tif,15,higher,6.717792510986328,44.785282135009766,0.19451351463794708,0.09671692550182343,0.0,2.338560104370117,0.2373315989971161,0.0,0.0,0.3436928987503052,0.6398444771766663,34751,34751,34751,94839,100.0,100.0
et,2020,june,Early Growing Season,max,data/processed/composites/et_2020_june_max.tif,15,higher,6.717792510986328,44.785282135009766,3.37611722946167,3.4236931800842285,1.1665538549423218,6.49369478225708,0.40750852227211,2.7237181663513184,3.1224098205566406,3.5999550819396973,3.9474544525146484,34751,34751,34751,94839,100.0,100.0
et,2020,june,Early Growing Season,std,data/processed/composites/et_2020_june_std.tif,15,higher,6.717792510986328,44.785282135009766,1.177973747253418,1.1833633184432983,0.47782352566719055,2.3900420665740967,0.17384421825408936,0.887637734413147,1.0727211236953735,1.2758426666259766,1.4561742544174194,34751,34751,34751,94839,100.0,100.0
et,2020,june,Early Growing Season,valid_count,data/processed/composites/et_2020_june_valid_count.tif,15,higher,6.717792510986328,44.785282135009766,6.717792510986328,7.0,3.0,11.0,1.4787238836288452,4.0,6.0,8.0,9.0,34751,34751,34751,94839,100.0,100.0
et,2020,june,Early Growing Season,observation_coverage,data/processed/composites/et_2020_june_observation_coverage.tif,15,higher,6.717792510986328,44.785282135009766,44.785282135009766,46.66666793823242,20.0,73.33333587646484,9.858160972595215,26.666667938232422,40.0,53.333335876464844,60.000003814697266,34751,34751,34751,94839,100.0,100.0
et,2021,june,Early Growing Season,mean,data/processed/composites/et_2021_june_mean.tif,14,medium,10.094932556152344,72.10665893554688,2.0769972801208496,1.9831370115280151,0.5783592462539673,3.6031317710876465,0.4985043704509735,1.348581075668335,1.7074223756790161,2.4958934783935547,2.9090757369995117,34751,34751,34751,94839,100.0,100.0
et,2021,june,Early Growing Season,median,data/processed/composites/et_2021_june_median.tif,14,medium,10.094932556152344,72.10665893554688,2.2389278411865234,2.1882412433624268,0.23086731135845184,4.342127799987793,0.6784026622772217,1.2079856395721436,1.7308876514434814,2.7447669506073,3.3967554569244385,34751,34751,34751,94839,100.0,100.0
et,2021,june,Early Growing Season,min,data/processed/composites/et_2021_june_min.tif,14,medium,10.094932556152344,72.10665893554688,0.2886170446872711,0.2442072033882141,0.0,1.2096083164215088,0.23446841537952423,0.0,0.10748378187417984,0.40873146057128906,0.7696574926376343,34751,34751,34751,94839,100.0,100.0
et,2021,june,Early Growing Season,max,data/processed/composites/et_2021_june_max.tif,14,medium,10.094932556152344,72.10665893554688,3.742626905441284,3.6349315643310547,1.415490984916687,6.5951714515686035,0.6892810463905334,2.803295850753784,3.26497220993042,4.187982082366943,4.887521743774414,34751,34751,34751,94839,100.0,100.0
