variable,year,season,season_label,metric,label,raster_path,mean,median,min,max,std,p05,p25,p75,p95,valid_pixel_count,valid_aoi_pixel_count,total_aoi_pixel_count,total_pixel_count,coverage_inside_aoi_percent,coverage_percent
esi,2024,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/esi_2024_june_raw_anomaly.tif,0.11669982224702835,0.13865789771080017,-0.7287748456001282,0.34421306848526,0.10455835610628128,-0.11679504811763763,0.07238857448101044,0.18610049784183502,0.2431390881538391,34510,34510,34751,94839,99.30649477712872,99.30649477712872
esi,2024,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/esi_2024_june_standardized_anomaly.tif,1.0109922885894775,1.314777135848999,-2.421794891357422,2.4228556156158447,0.8750749826431274,-1.264459490776062,0.8455020785331726,1.534250259399414,1.812414526939392,34502,34502,34751,94839,99.28347385686743,99.28347385686743
esi,2025,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/esi_2025_june_raw_anomaly.tif,-0.0727761909365654,-0.056056857109069824,-0.6922573447227478,0.49001961946487427,0.12312616407871246,-0.29138267040252686,-0.14664342999458313,0.0187949538230896,0.09437471628189087,34751,34751,34751,94839,100.0,100.0
esi,2025,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/esi_2025_june_standardized_anomaly.tif,-0.5220721364021301,-0.5878047943115234,-2.405648708343506,2.082989454269409,0.9175315499305725,-1.9158167839050293,-1.263567566871643,0.22423049807548523,0.9779763221740723,34743,34743,34751,94839,99.97697907973871,99.97697907973871
et,2019,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/et_2019_june_raw_anomaly.tif,-0.11947150528430939,-0.13524413108825684,-1.2708446979522705,1.2030761241912842,0.3135586082935333,-0.617051362991333,-0.3277258276939392,0.07855486869812012,0.42673981189727783,34751,34751,34751,94839,100.0,100.0
et,2019,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/et_2019_june_standardized_anomaly.tif,-0.3121139407157898,-0.28099390864372253,-2.393704414367676,2.3049628734588623,0.7031066417694092,-1.5247501134872437,-0.7732802033424377,0.15448908507823944,0.8241493701934814,34751,34751,34751,94839,100.0,100.0
et,2020,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/et_2020_june_raw_anomaly.tif,-0.5353400111198425,-0.4812663793563843,-2.2510414123535156,1.284536361694336,0.49264076352119446,-1.3592312335968018,-0.9263884425163269,-0.14227503538131714,0.18229585886001587,34751,34751,34751,94839,100.0,100.0
et,2020,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/et_2020_june_standardized_anomaly.tif,-0.9533388018608093,-1.0655696392059326,-2.4175820350646973,2.233264207839966,0.8004980087280273,-2.032376766204834,-1.620011329650879,-0.403683066368103,0.5042575597763062,34751,34751,34751,94839,100.0,100.0
et,2021,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/et_2021_june_raw_anomaly.tif,-0.1897188425064087,-0.189528226852417,-1.114572525024414,0.7331016063690186,0.227865532040596,-0.5602251887321472,-0.3453584909439087,-0.03869420289993286,0.18815821409225464,34751,34751,34751,94839,100.0,100.0
et,2021,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/et_2021_june_standardized_anomaly.tif,-0.40906062722206116,-0.3979755640029907,-2.2998554706573486,2.080897092819214,0.5190224051475525,-1.289352297782898,-0.7289401292800903,-0.08070012927055359,0.4238640069961548,34751,34751,34751,94839,100.0,100.0
